Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Crude, NGL and feedstocks",Total energy supply (ktoe),3290596.801,3290572.772,3310464.06,3359177.673,3397329.573,3433204.046,3548537.033,3655971.195,3653123.704,3674616.522,3751665.338,3786926.969,3805651.796,3908131.967,4048651.812,4092438.475,4129927.724,4149256.002,4162785.392,4096026.89,4170825.044,4201861.196,4273799.434,4270820.769,4366023.789,4449855.277,4486812.385,4558540.389,4585515.641
"Crude, NGL and feedstocks","Electricity, CHP and heat plants (ktoe)",-30482.1665,-27595.0833,-34237.3513,-36714.3511,-43145.3639,-39523.0316,-40111.6297,-41777.6543,-30735.2154,-24359.8982,-25287.6397,-23811.8784,-23965.9772,-23774.9128,-23049.307,-23690.0771,-22614.2228,-28128.3495,-24148.5773,-30741.5827,-34898.523,-42331.876,-47912.9016,-45169.6271,-46314.5809,-47147.3602,-40462.9255,-35551.7583,-31331.948
"Crude, NGL and feedstocks","Oil refineries, transformation (ktoe)",-3171064.847,-3167260.004,-3184587.289,-3206526.764,-3236982.036,-3275191.312,-3379392.752,-3476966.159,-3497372.982,-3513276.807,-3587072.36,-3611137.478,-3632478.788,-3727074.961,-3859227.579,-3902798.402,-3937256.106,-3954749.903,-3986403.326,-3898078.22,-3976717.378,-4010484.942,-4073881.344,-4082540.849,-4134533.781,-4208441.263,-4252502.139,-4326398.053,-4361957.745
"Crude, NGL and feedstocks",Total final consumption (ktoe),10912.5724,13037.1419,13318.4496,13070.4376,12553.2013,11137.7541,15417.0262,15531.6435,14816.5121,13224.074,13725.9526,13260.8175,12250.1169,11778.2679,11959.7402,12524.7928,13388.6098,13371.1736,12687.3696,19069.7857,21939.0915,14722.1023,10795.6527,12416.2646,12274.3004,13500.4957,15303.1078,12677.6264,12588.1558
"Crude, NGL and feedstocks",Industry (ktoe),2906.0938,3866.1085,3885.6578,3774.8399,3739.9853,4029.2027,6228.4207,5114.879,5298.874,5688.6014,5275.2257,5429.1588,3889.8482,3557.4498,4370.2563,4558.0652,4000.0769,4864.0753,5012.6424,8067.8839,9483.7665,7395.2334,2094.4773,4640.686,1817.6896,3555.9734,7648.0818,3314.7076,2499.9815
"Crude, NGL and feedstocks",Transport (ktoe),21.1048,19.0948,35.1747,30.1498,13.0649,10.0499,9.0449,16.0799,12.0599,10.0499,10.0499,6.03,5.025,13.0649,37.1847,19.0948,12.0599,8.0399,17.0849,26.4993,36.8991,5.035,6.042,31.3965,8.7652,14.8609,15.1379,9.7465,70.9173
"Crude, NGL and feedstocks",Residential (ktoe),105.5842,99.5392,89.4443,88.4393,125.624,132.6589,174.8686,306.5225,335.6673,472.3462,721.5842,505.5109,88.4393,34.1697,0.0,0.0,0.0,0.0,0.0,451.592,554.8752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Commercial and public services (ktoe),4.036,4.036,5.045,5.045,5.045,5.045,5.045,5.045,5.045,3.027,0.0,0.0,0.0,0.0,0.0,31.1547,34.1697,0.0,0.0,83.5339,117.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Other final consumption (ktoe),7875.7536,9048.3632,9303.1277,9171.9636,8669.4821,6960.7976,8999.6469,10089.1172,9164.8657,7050.0496,7719.0928,7320.1178,8266.8044,8173.5835,7552.2992,7916.478,9342.3033,8499.0582,7657.6423,10440.2767,11745.5808,7321.834,8695.1335,7744.1821,10447.8456,9929.6614,7639.888,9353.1723,10017.2568
Oil products,Production (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil products,Imports (ktoe),585465.1539,569512.3754,565905.3508,585251.4006,586582.9206,609167.6133,643557.9714,674714.4551,683360.1344,692804.6606,720657.054,729114.78,747550.3667,777914.3437,853623.5548,911688.0748,959687.468,983633.6995,1019302.159,1034704.363,1112352.901,1138524.291,1152283.866,1194356.703,1212920.302,1276374.579,1336979.568,1370697.628,1396838.952
Oil products,Exports (ktoe),-648282.166,-614323.6984,-621943.313,-648815.9929,-671603.3155,-679115.4714,-732745.372,-770079.5991,-759801.5728,-761229.8504,-790475.8257,-805970.5028,-826024.8394,-859365.7311,-929200.6516,-999193.8794,-1015325.185,-1038701.219,-1088069.73,-1112215.868,-1156246.684,-1214484.343,-1237788.52,-1262798.614,-1289399.624,-1380269.207,-1435952.861,-1477986.336,-1488672.071
Oil products,Total energy supply (ktoe),-57385.0945,-44494.8895,-46127.8281,-73992.9765,-91502.0683,-59907.0991,-86739.8706,-106980.5693,-92258.587,-37412.5039,-82188.442,-86874.8294,-61544.7854,-80326.7369,-79200.3217,-82371.3666,-70978.1242,-51872.8767,-77632.6963,-91205.0696,-43465.2071,-74184.4156,-98258.7298,-74046.2188,-97200.3504,-121621.8376,-104633.8101,-101714.6493,-88517.4339
Oil products,"Electricity, CHP and heat plants (ktoe)",-349600.7308,-346403.8323,-334215.7612,-327702.503,-312047.8993,-299805.3111,-292933.8522,-328792.9168,-354189.3914,-340703.3938,-315731.0651,-309756.2704,-272736.8157,-273520.0138,-275786.7122,-272537.7273,-253343.7966,-250210.7721,-244311.8886,-231421.9153,-230387.1036,-240097.5114,-253239.8063,-242839.363,-231532.6672,-218582.5964,-201077.9436,-176245.6151,-171485.0301
Oil products,"Oil refineries, transformation (ktoe)",3114390.017,3128493.047,3136566.659,3165955.073,3190741.634,3229228.056,3341139.838,3443641.574,3466594.005,3480228.453,3558430.853,3586888.864,3601507.635,3687283.121,3820449.896,3858918.286,3893859.945,3914631.18,3942751.198,3839515.334,3937994.052,3924745.82,3970775.52,3989510.459,4032649.922,4127460.063,4156133.389,4232631.764,4269234.404
Oil products,Total final consumption (ktoe),2595230.368,2625659.061,2654284.364,2660405.426,2710683.574,2789814.618,2881674.858,2950114.565,2962185.143,3050595.712,3105736.578,3137519.883,3185069.408,3243688.39,3390988.893,3432774.474,3490653.815,3550284.332,3509488.914,3439905.163,3574759.526,3563838.835,3603056.241,3664145.419,3719860.49,3811785.897,3872721.685,3977441.306,4038502.226
Oil products,Industry (ktoe),328704.6902,324619.4588,314509.952,308316.029,308608.7711,300665.1525,298936.8153,306907.1453,300800.123,302436.0274,315597.5827,317665.7947,314792.4582,312616.3205,327519.6106,322617.0313,329127.6751,324997.122,312879.8025,292591.3283,312169.3724,286521.8117,292340.555,289387.8772,282819.3205,292606.2935,296101.8084,302336.6611,290436.0846
Oil products,Transport (ktoe),1482403.262,1495300.947,1530740.93,1546099.539,1580772.243,1626119.01,1694733.819,1724967.673,1762443.461,1815020.875,1875716.725,1885776.642,1932756.036,1969831.029,2059331.889,2102360.309,2150323.483,2213048.943,2210056.359,2171993.375,2258498.24,2291927.065,2313567.469,2373628.023,2414539.395,2486875.211,2537365.197,2600775.109,2650434.29
Oil products,Residential (ktoe),196211.7831,199549.395,204850.1006,208100.9376,205563.9932,213481.9842,224336.1135,224193.5526,218840.7337,224696.8575,226996.374,230395.7481,223765.2399,225671.9935,229375.8459,230374.9545,222542.1421,213012.4361,214280.3986,206908.6782,206906.2148,199491.4354,196809.4296,201405.5577,198960.5668,204942.6395,207403.5803,215185.0347,218296.7795
Oil products,Commercial and public services (ktoe),93908.3579,94808.6983,98547.1236,102029.9735,101440.7791,102657.5475,108034.8831,105377.8476,100223.3551,107833.6247,98287.0742,101850.3098,99432.5076,100774.6886,101427.5106,98448.0798,92206.2657,90359.6627,88878.0005,85807.9628,87195.5633,83852.6639,80365.2232,83237.38,78660.1052,82278.7809,84312.544,83571.2358,79180.2545
