Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Crude, NGL and feedstocks","Oil refineries, transformation (ktoe)",-62121.4615,-59982.2558,-62360.2943,-63151.8637,-66887.7358,-65598.7755,-70376.0433,-75524.5001,-81217.8289,-84393.924,-85859.11,-88173.8556,-87717.6474,-88467.0811,-93309.9013,-93407.9426,-94656.79,-94943.1903,-95738.8857,-96589.6029,-96539.2222,-99244.3386,-103744.6954,-111355.0012,-113857.7619,-107057.9441,-99663.0791,-96436.0708,-94233.3103
"Crude, NGL and feedstocks",Total final consumption (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Industry (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Transport (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Residential (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Commercial and public services (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude, NGL and feedstocks",Other final consumption (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil products,Production (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil products,Imports (ktoe),2992.3241,4259.602,5454.0834,13239.7611,10604.5845,11295.8825,13020.566,13856.7833,14262.4995,13943.014,13968.1703,14462.7022,13270.8296,10449.126,9792.6962,10361.227,11908.8335,13760.4874,15649.0859,13357.6504,21826.8537,24204.5,24283.8307,23464.2061,24780.1928,21465.2961,22524.204,28215.7777,25293.4745
Oil products,Exports (ktoe),-3999.6527,-3132.212,-3737.7161,-5598.7012,-5086.9195,-2146.7659,-1973.9806,-2163.1788,-4367.2802,-3833.4365,-5064.8575,-7329.1592,-7870.3841,-8734.2006,-9707.5029,-9159.908,-9692.7251,-9815.7551,-8181.3928,-7852.2935,-6537.3355,-6548.2813,-6290.9986,-7052.4172,-6666.9592,-5963.9198,-5599.7797,-5871.5692,-8493.8468
